2025-05-12|0|0|0|0|0
2025-05-13|0|0|0|0|0
2025-05-14|0|0|0|0|0
2025-05-15|0|0|0|0|0
2025-05-16|0|0|0|0|0
2025-05-19|5414|196|89|126|48
2025-05-20|5464|187|85|101|41
2025-05-21|5473|151|92|91|39
2025-05-22|5483|164|80|91|36
2025-05-23|5486|136|79|81|37
2025-05-27|5497|147|76|80|36
2025-05-28|5486|117|85|64|44
2025-05-29|5504|154|72|73|38
2025-05-30|5497|116|92|55|52
2025-06-02|5493|148|77|67|34
2025-06-03|5511|161|69|79|36
2025-06-04|5501|185|64|100|40
2025-06-05|5499|166|84|88|50
2025-06-06|5516|255|60|146|36
2025-06-09|5525|257|61|139|38
2025-06-10|5528|194|74|109|43
2025-06-11|5529|171|75|102|39
2025-06-12|5539|172|66|111|43
2025-06-13|5524|106|114|57|65
2025-06-16|5555|115|123|70|62
2025-06-17|5538|103|141|62|77
2025-06-18|5532|112|123|75|62
2025-06-20|5542|124|108|84|55
2025-06-23|5544|130|98|92|51
2025-06-24|5537|133|88|92|46
2025-06-25|5528|142|100|89|51
2025-06-26|5538|142|92|84|50
2025-06-27|5525|126|106|75|52
2025-06-30|5554|167|84|90|44
2025-07-01|5534|118|81|62|40
2025-07-02|5531|174|63|98|33
2025-07-03|5491|174|61|101|34
2025-07-07|5522|188|66|97|30
2025-07-08|5536|211|53|103|28
2025-07-09|5536|248|47|132|30
2025-07-10|5547|219|49|122|27
2025-07-11|5563|182|72|103|44
2025-07-14|5558|228|65|125|39
2025-07-15|5560|167|72|89|38
2025-07-16|5547|177|68|97|35
2025-07-17|5567|178|70|102|41
2025-07-18|5554|184|74|113|45
2025-07-21|5575|177|71|96|48
2025-07-22|5562|235|54|123|33
2025-07-23|5565|239|58|123|35
2025-07-24|5557|174|77|93|44
2025-07-25|5550|178|73|101|45
2025-07-28|5548|163|83|102|46
2025-07-29|5540|98|134|61|76
2025-07-30|5540|61|188|42|93
2025-07-31|5559|71|212|53|103
2025-08-01|5540|64|290|48|133
2025-08-04|5543|90|196|67|98
2025-08-05|5536|116|136|79|83
2025-08-06|5544|133|143|91|80
2025-08-07|5542|138|129|105|68
