2026-05-25|Bull
2026-05-26|Bull
2026-05-27|Bull
2026-05-28|Bull
2026-05-29|Bull
2026-06-01|Bull
2026-06-02|Bull
2026-06-03|Bull
2026-06-04|Bull
2026-06-05|Choppy
2026-06-08|Bull
2026-06-09|Bull
2026-06-10|Choppy
2026-06-11|Bull
2026-06-12|Bull
2026-06-15|Bull
2026-06-16|Choppy
2026-06-17|Choppy
2026-06-18|Choppy
2026-06-22|Bull
2026-06-23|Bull
2026-06-24|Choppy
2026-06-25|Choppy
2026-06-26|Correcting
2026-06-29|Bull
2026-06-30|Bull
2026-07-01|Bull
2026-07-02|Choppy
2026-07-06|Bull
2026-07-07|Choppy
2026-07-08|Correcting
2026-07-09|Choppy
2026-07-10|Choppy
2026-07-13|Correcting
2026-07-14|Choppy
2026-07-15|Choppy
2026-07-16|Correcting
2026-07-17|Correcting
2026-07-20|Correcting
2026-07-21|Correcting
2026-07-22|Correcting
2026-07-23|Correcting
2026-07-24|Correcting
2026-07-27|Correcting
2026-07-28|Correcting
2026-07-29|Crisis
2026-07-30|Correcting
2026-07-31|Correcting
2026-08-03|Choppy
2026-08-04|Bull
2026-08-05|Bull
2026-08-06|Bull
2026-08-07|Bull
2026-08-10|Bull
2026-08-11|Bull
2026-08-12|Bull
2026-08-13|Bull
2026-08-14|Bull
2026-08-17|Bull
2026-08-18|Bull
2026-08-19|Bull
2026-08-20|Choppy
2026-08-21|Choppy
