MRNA|2026-08-19|2025-07-21|31.525|32.07|30.88|30.97|5767735.0
MRNA|2026-08-19|2025-07-22|30.98|32.84|30.98|32.73|8246651.0
MRNA|2026-08-19|2025-07-23|33.885|35.59|33.54|34.67|12501165.0
MRNA|2026-08-19|2025-07-24|34.95|35.09|33.8|34.01|6613783.0
MRNA|2026-08-19|2025-07-25|33.97|34.435|33.35|34.15|5371779.0
MRNA|2026-08-19|2025-07-28|34.34|34.7|33.702|33.91|5589523.0
MRNA|2026-08-19|2025-07-29|33.7|33.7|31.94|32.66|8295482.0
MRNA|2026-08-19|2025-07-30|33.085|33.3999|31.89|32.15|6087512.0
MRNA|2026-08-19|2025-07-31|31.21|31.845|29.31|29.56|14481865.0
MRNA|2026-08-19|2025-08-01|27.57|27.88|26.5648|27.605|16282200.0
MRNA|2026-08-19|2025-08-04|28.015|28.6|27.18|27.64|8091083.0
MRNA|2026-08-19|2025-08-05|27.64|27.9701|27.305|27.47|6162982.0
MRNA|2026-08-19|2025-08-06|27.2|27.4846|26.32|26.71|10166646.0
MRNA|2026-08-19|2025-08-07|26.885|27.04|26.26|26.61|7832254.0
MRNA|2026-08-19|2025-08-08|26.545|26.88|25.89|26.12|6607279.0
MRNA|2026-08-19|2025-08-11|26.15|26.715|25.3|25.47|8757914.0
MRNA|2026-08-19|2025-08-12|25.54|26.26|25.3216|25.66|12252374.0
MRNA|2026-08-19|2025-08-13|25.89|27.08|25.79|26.89|8658143.0
MRNA|2026-08-19|2025-08-14|26.4|26.885|25.81|26.69|5798980.0
MRNA|2026-08-19|2025-08-15|26.97|28.5899|26.8|28.02|9386067.0
MRNA|2026-08-19|2025-08-18|28.2|28.51|27.965|28.09|6149349.0
MRNA|2026-08-19|2025-08-19|28.15|28.3|27.62|27.91|5415308.0
MRNA|2026-08-19|2025-08-20|27.72|27.89|26.56|26.89|6918893.0
MRNA|2026-08-19|2025-08-21|26.55|26.6|26.01|26.22|5643695.0
MRNA|2026-08-19|2025-08-22|26.38|27.8|26.38|27.12|9165543.0
MRNA|2026-08-19|2025-08-25|27.12|27.22|25.35|25.35|13157807.0
MRNA|2026-08-19|2025-08-26|25.35|25.51|24.29|24.73|13014853.0
MRNA|2026-08-19|2025-08-27|24.75|25.64|24.28|25.1|18672511.0
MRNA|2026-08-19|2025-08-28|25.04|25.18|24.13|24.47|10608810.0
MRNA|2026-08-19|2025-08-29|24.25|24.38|23.84|24.09|8288636.0
MRNA|2026-08-19|2025-09-02|23.93|24.25|23.4|24.19|14228511.0
MRNA|2026-08-19|2025-09-03|24.16|24.66|23.79|24.05|9306486.0
MRNA|2026-08-19|2025-09-04|23.81|24.34|23.33|24.28|9158277.0
MRNA|2026-08-19|2025-09-05|24.66|25.48|24.6054|25.14|13040610.0
MRNA|2026-08-19|2025-09-08|24.925|24.925|23.78|24.83|13100465.0
MRNA|2026-08-19|2025-09-09|24.91|25.465|24.32|24.47|9779916.0
MRNA|2026-08-19|2025-09-10|24.58|25.35|24.208|24.31|8232789.0
MRNA|2026-08-19|2025-09-11|24.58|25.9|24.5|25.39|11765055.0
MRNA|2026-08-19|2025-09-12|25.225|25.415|23.18|23.51|31285650.0
MRNA|2026-08-19|2025-09-15|23.705|23.95|23.35|23.88|11984733.0
MRNA|2026-08-19|2025-09-16|23.94|25.63|23.91|24.84|15654298.0
MRNA|2026-08-19|2025-09-17|24.85|25.7799|23.91|25|13337097.0
MRNA|2026-08-19|2025-09-18|25.57|26.01|25.2|25.45|10341343.0
MRNA|2026-08-19|2025-09-19|25.45|25.49|24.6003|25.24|18333959.0
MRNA|2026-08-19|2025-09-22|25.11|27.1|24.88|26.56|16032612.0
MRNA|2026-08-19|2025-09-23|26.72|26.97|25.66|25.79|8937292.0
MRNA|2026-08-19|2025-09-24|25.82|26.23|25.5216|25.88|7526438.0
MRNA|2026-08-19|2025-09-25|25.68|25.68|24.44|24.61|10626890.0
MRNA|2026-08-19|2025-09-26|24.51|24.78|23.91|24.49|10240248.0
MRNA|2026-08-19|2025-09-29|24.82|25.495|24.44|25.33|8011045.0
MRNA|2026-08-19|2025-09-30|25.1|26.01|24.56|25.83|9622593.0
