ADVB|2026-07-23|EXTENDED|0|32.08|2026-07-23 09:31:00||||59.9
ADVB|2026-07-24|EXTENDED|0|33.53|2026-07-24 09:31:00||||4.9
AERT|2026-06-12|EXTENDED|0|12.50|2026-06-12 09:31:00||||33.0
AIOS|2026-05-01|EXTENDED|0|26.29|2026-05-01 09:31:00||||179.0
AIOS|2026-05-05|EXTENDED|0|17.59|2026-05-05 09:31:00||||102.8
AKAN|2026-04-23|EXTENDED|0|13.61|2026-04-23 09:31:00||||521.7
AKAN|2026-04-29|EXTENDED|0|14.35|2026-04-29 09:31:00||||305.4
AKAN|2026-04-30|EXTENDED|0|29.65|2026-04-30 09:31:00||||145.8
AKAN|2026-05-01|EXTENDED|0|14.38|2026-05-01 09:31:00||||36.7
AKAN|2026-05-22|EXTENDED|0|11.89|2026-05-22 09:31:00||||6.6
AKTX|2026-05-22|EXTENDED|0|89.30|2026-05-22 09:31:00||||195.6
AKTX|2026-05-29|EXTENDED|0|10.66|2026-05-29 09:31:00||||3.9
AMIX|2026-08-06|EXTENDED|0|10.00|2026-08-06 09:31:00||||6.7
AMPG|2026-06-11|EXTENDED|0|10.59|2026-06-11 09:31:00||||27.0
ASTC|2026-05-28|EXTENDED|0|63.65|2026-05-28 09:31:00||||217.4
ASTC|2026-05-29|EXTENDED|0|29.83|2026-05-29 09:31:00||||82.6
BBGI|2026-04-16|EXTENDED|0|11.33|2026-04-16 09:31:00||||74.1
BGDE|2026-06-18|EXTENDED|0|10.31|2026-06-18 09:31:00||||4.3
BIRD|2026-04-17|EXTENDED|0|17.42|2026-04-17 09:31:00||||7.6
BIRD|2026-04-20|EXTENDED|0|10.56|2026-04-20 09:31:00||||11.6
BIRD|2026-06-22|EXTENDED|0|11.89|2026-06-22 09:31:00||||25.5
BNAI|2026-06-12|EXTENDED|0|14.99|2026-06-12 09:31:00||||18.6
BOXL|2026-08-14|EXTENDED|0|24.01|2026-08-14 09:31:00||||7.1
BRAI|2026-05-28|EXTENDED|0|12.47|2026-05-28 09:31:00||||42.9
BRUNW|2026-05-15|EXTENDED|0|18.99|2026-05-15 09:31:00||||89.9
BTM|2026-04-21|EXTENDED|0|10.76|2026-04-21 09:31:00||||16.9
BTM|2026-04-22|EXTENDED|0|21.11|2026-04-22 09:31:00||||27.1
BTM|2026-04-23|EXTENDED|0|8.38|2026-04-23 09:31:00||||11.0
CAR|2026-04-22|EXTENDED|0|8.13|2026-04-22 09:31:00||||9.4
CAST|2026-06-18|EXTENDED|0|119.03|2026-06-18 09:31:00||||2.4
CAST|2026-06-24|EXTENDED|0|10.29|2026-06-24 09:31:00||||8.6
CCXI|2026-07-01|EXTENDED|0|10.03|2026-07-01 09:31:00||||5.4
CETX|2026-06-05|EXTENDED|0|10.07|2026-06-05 09:31:00||||29.3
CLRO|2026-07-06|EXTENDED|0|10.03|2026-07-06 09:31:00||||156.2
CLRO|2026-07-07|EXTENDED|0|28.57|2026-07-07 09:31:00||||72.1
CLRO|2026-07-09|EXTENDED|0|18.21|2026-07-09 09:31:00||||15.1
CLRO|2026-08-10|EXTENDED|0|14.65|2026-08-10 09:31:00||||32.3
CODX|2026-05-26|EXTENDED|0|35.90|2026-05-26 09:31:00||||97.1
CODX|2026-05-28|EXTENDED|0|31.36|2026-05-28 09:31:00||||66.5
CODX|2026-05-29|EXTENDED|0|14.30|2026-05-29 09:31:00||||19.6
CPSH|2026-05-27|EXTENDED|0|16.91|2026-05-27 09:31:00||||10.7
CTEV|2026-05-21|EXTENDED|0|11.86|2026-05-21 09:31:00||||60.6
CUE|2026-05-01|EXTENDED|0|92.71|2026-05-01 09:31:00||||22.7
DBGI|2026-08-05|EXTENDED|0|22.47|2026-08-05 09:31:00||||1.9
DFNS|2026-07-28|EXTENDED|0|105.19|2026-07-28 09:31:00||||344.6
DFNS|2026-07-29|EXTENDED|0|61.21|2026-07-29 09:31:00||||132.0
DFNS|2026-07-30|EXTENDED|0|46.48|2026-07-30 09:31:00||||8.3
DFNS|2026-08-03|EXTENDED|0|77.02|2026-08-03 09:31:00||||68.9
DFNS|2026-08-05|EXTENDED|0|24.89|2026-08-05 09:31:00||||13.3
DGXX|2026-05-11|EXTENDED|0|14.78|2026-05-11 09:31:00||||24.0
EDHL|2026-06-12|EXTENDED|0|34.36|2026-06-12 09:31:00||||31.6
EFOI|2026-04-21|EXTENDED|0|10.12|2026-04-21 09:31:00||||4.5
ENVB|2026-04-28|EXTENDED|0|10.69|2026-04-28 09:31:00||||9.9
ERNA|2026-05-07|EXTENDED|0|15.71|2026-05-07 09:31:00||||128.2
ERNA|2026-05-13|EXTENDED|0|8.91|2026-05-13 09:31:00||||4.4
FCEL|2026-04-30|EXTENDED|0|8.14|2026-04-30 09:31:00||||108.2
FCUV|2026-08-03|EXTENDED|0|51.64|2026-08-03 09:31:00||||15.4
FGI|2026-04-20|EXTENDED|0|25.23|2026-04-20 09:31:00||||66.5
FOFO|2026-06-04|EXTENDED|0|11.99|2026-06-04 09:31:00||||12.1
FOXX|2026-06-05|EXTENDED|0|16.05|2026-06-05 09:31:00||||18.6
FTH|2026-06-26|EXTENDED|0|11.03|2026-06-26 09:31:00||||45.7
GDC|2026-05-06|EXTENDED|0|25.88|2026-05-06 09:31:00||||9.1
HCAI|2026-04-22|EXTENDED|0|23.71|2026-04-22 09:31:00||||200.8
ICCM|2026-06-18|EXTENDED|0|10.78|2026-06-18 09:31:00||||44.9
ICCM|2026-06-22|EXTENDED|0|28.89|2026-06-22 09:31:00||||33.6
ICCM|2026-06-23|EXTENDED|0|12.14|2026-06-23 09:31:00||||43.8
IMC|2026-08-05|EXTENDED|0|13.38|2026-08-05 09:31:00||||29.4
ISPC|2026-05-01|EXTENDED|0|23.90|2026-05-01 09:31:00||||11.7
JEM|2026-07-14|EXTENDED|0|12.92|2026-07-14 09:31:00||||12.7
JEM|2026-07-30|EXTENDED|0|10.17|2026-07-30 09:31:00||||4.1
JLHL|2026-04-21|EXTENDED|0|28.41|2026-04-21 09:31:00||||207.0
JLHL|2026-06-08|EXTENDED|0|22.77|2026-06-08 09:31:00||||4.3
JLHL|2026-07-10|EXTENDED|0|35.89|2026-07-10 09:31:00||||26.8
JLHL|2026-07-15|EXTENDED|0|12.28|2026-07-15 09:31:00||||88.8
JLHL|2026-07-17|EXTENDED|0|18.72|2026-07-17 09:31:00||||66.4
MAAS|2026-04-20|EXTENDED|0|18.70|2026-04-20 09:31:00||||114.9
MAAS|2026-04-23|EXTENDED|0|20.19|2026-04-23 09:31:00||||26.6
MNTS|2026-05-27|EXTENDED|0|23.64|2026-05-27 09:31:00||||14.1
MRAM|2026-05-04|EXTENDED|0|8.33|2026-05-04 09:31:00||||140.4
MX|2026-04-27|EXTENDED|0|11.42|2026-04-27 09:31:00||||22.1
MX|2026-05-27|EXTENDED|0|10.66|2026-05-27 09:31:00||||45.6
MX|2026-05-29|EXTENDED|0|27.76|2026-05-29 09:31:00||||23.1
MXL|2026-04-24|EXTENDED|0|67.65|2026-04-24 09:31:00||||93.1
NAKA|2026-05-22|EXTENDED|0|12.92|2026-05-22 09:31:00||||27.3
NIPG|2026-07-27|EXTENDED|0|11.29|2026-07-27 09:31:00||||87.4
NVVE|2026-07-10|EXTENDED|0|27.10|2026-07-10 09:31:00||||275.2
NVVE|2026-07-14|EXTENDED|0|11.69|2026-07-14 09:31:00||||127.7
NVVE|2026-07-15|EXTENDED|0|24.43|2026-07-15 09:31:00||||108.0
NXTC|2026-07-16|EXTENDED|0|14.03|2026-07-16 09:31:00||||33.3
OCC|2026-06-10|EXTENDED|0|17.02|2026-06-10 09:31:00||||33.2
OCC|2026-06-11|EXTENDED|0|10.55|2026-06-11 09:31:00||||2.0
OLOX|2026-06-02|EXTENDED|0|10.71|2026-06-02 09:31:00||||23.4
PAVS|2026-06-29|EXTENDED|0|11.92|2026-06-29 09:31:00||||34.1
PBM|2026-04-17|EXTENDED|0|67.45|2026-04-17 09:31:00||||72.7
PBM|2026-04-20|EXTENDED|0|70.92|2026-04-20 09:31:00||||29.3
PBM|2026-04-23|EXTENDED|0|9.14|2026-04-23 09:31:00||||18.3
PBM|2026-04-24|EXTENDED|0|10.42|2026-04-24 09:31:00||||3.0
PIII|2026-05-19|EXTENDED|0|29.12|2026-05-19 09:31:00||||67.9
PN|2026-05-06|EXTENDED|0|23.98|2026-05-06 09:31:00||||12.5
PN|2026-07-24|EXTENDED|0|24.79|2026-07-24 09:31:00||||118.8
PN|2026-07-27|EXTENDED|0|29.07|2026-07-27 09:31:00||||158.1
PN|2026-07-29|EXTENDED|0|14.04|2026-07-29 09:31:00||||135.8
PN|2026-07-30|EXTENDED|0|66.10|2026-07-30 09:31:00||||17.8
POET|2026-04-22|EXTENDED|0|17.63|2026-04-22 09:31:00||||80.6
POET|2026-04-24|EXTENDED|0|13.82|2026-04-24 09:31:00||||53.5
POET|2026-04-27|EXTENDED|0|8.93|2026-04-27 09:31:00||||117.6
