2026-06-08|Agricultural Commodities & Agri-Business|Fading|AGRO,DAR
2026-06-08|AI Datacenter Optical Transceivers & Components|Mainstream|MXL,AAOI,LITE,COHR
2026-06-08|AI Data Center Power Infrastructure|Fading|FCEL,VRT,AGX,PWR,BE,GEV
2026-06-08|AI Memory & Storage|Mainstream|STX,WDC,SNDK,MRAM,SIMO,MU
2026-06-08|Autonomous Military Drone Swarm & AI Defense Software|Retired|
2026-06-08|Cell & Genome Engineering Oncology|Fading|VOR,ARCT
2026-06-08|Consumer Discretionary Home Furnishings Rebound|Fading|SEAT,LOVE
2026-06-08|Crypto Asset Recovery|Mainstream|RIOT,HUT,WULF
2026-06-08|Custom AI Silicon & Chip Architecture Licensing|Mainstream|ARM,CRDO,AMD,QUIK,CEVA,MRVL,ALAB,AIP,INTC
2026-06-08|Cybersecurity Network Edge & SD-WAN|Retired|
2026-06-08|Defense Electronics & Avionics Mission Systems|Retired|
2026-06-08|Edge CDN & Cloud-Native Developer Platforms|Retired|
2026-06-08|Edge Cloud & Developer CDN Platforms|Accelerating|FSLY,DOCN
2026-06-08|Enterprise Server & AI Infrastructure Hardware|Fading|TEN,CVE
2026-06-08|Firearms & Personal Defense Manufacturing|Fading|SWBI,LINC
2026-06-08|Gold & Precious Metals Mining|Fading|AU,ORLA
2026-06-08|Gold & Silver Junior Miners Momentum|Fading|HYMC,VMET
2026-06-08|Hemp & Cannabis-Derived Wellness Beverages|Fading|RYM,MLEC
2026-06-08|Hydraulic Fracturing & Completion Services|Retired|
2026-06-08|Inflammatory Disease & Immunology Biologics|Fading|DNTH,SYRE,ORKA
2026-06-08|Lithium & Battery Critical Minerals Mining|Fading|SGML,BMM
2026-06-08|Network Security & Zero-Trust Edge|Mainstream|PANW,OKTA,DDOG,CRWD,GRRR,FTNT
2026-06-08|Nitrogen Fertilizer & Ammonia Producers|Fading|CF,CLMT
2026-06-08|Nitrogen Fertilizer & Crop Nutrient Producers|Retired|
2026-06-08|Nylon & Engineered Polymer Intermediates|Fading|ASIX,CC
2026-06-08|Optical Components & Transceiver Manufacturers|Fading|OPTX,AXTI,GLW,LASR,CIEN
2026-06-08|Physical AI & Robotics|Retired|
2026-06-08|Power Semiconductor & Mixed-Signal Display Drivers|Fading|NVTS,AOSL,HIMX
2026-06-08|Precious & Streaming Metals Royalty & Junior Miners|Retired|
2026-06-08|Precision Frequency & Timing Defense Electronics|Mainstream|FEIM,ECOR
2026-06-08|Primary Aluminum Smelting & Rolling|Retired|
2026-06-08|Pure-Play Hydraulic Fracturing & Completion Services|Retired|
2026-06-08|Rare Earth Magnets & Critical Battery Materials|Accelerating|CENX,CSTM,AA,ALOY
2026-06-08|Robo-Advisor & AI-Driven Wealth Management Platforms|Fading|WLTH,LIFE
