A|2026-05-28|14.813535911602207|48|HIGH|HIGH||strong
AAP|2026-05-21|12.39266198282592|50.4|HIGH|HIGH||strong
ABCL|2026-08-10|17.6|96|HIGH|HIGH|unclassified|game_changer
ABSI|2026-06-24|16.33|100.8|HIGH|HIGH||strong
ABVX|2026-06-03|15.14|50.4|MODERATE|||routine
ACAD|2026-06-26|15.34|84|HIGH|HIGH||strong
ACHR|2026-08-10|14.85|54|HIGH|HIGH|episodic_neglect|routine
ACMR|2026-08-07|15.09|100.8|HIGH|HIGH|unclassified|strong
AEHR|2026-06-17|15.87|70|MODERATE|MODERATE||strong
AEHR|2026-07-15|29.5|96|HIGH|HIGH||game_changer
AEIS|2026-08-04|15.39|84|HIGH|HIGH|mature_leader|strong
AEVA|2026-08-06|22.28|96|HIGH|HIGH|unclassified|strong
AGX|2026-06-05|10.96|86.4|HIGH|||game_changer
AGYS|2026-05-19|14.81|72|HIGH|||strong
AIP|2026-05-13|20.81|115.2|HIGH|||strong
AIRO|2026-05-28|10.150891632373105|56.4|HIGH|HIGH||routine
AKTS|2026-06-12|11.92|54|HIGH|HIGH||strong
ALAB|2026-05-20|15.68|100.8|HIGH|||strong
ALOY|2026-06-01|14.25|86.4|HIGH|||strong
AMBQ|2026-05-12|18.68|84|HIGH|||strong
AMRC|2026-08-04|38.72|50|HIGH|HIGH|unclassified|routine
ANF|2026-05-27|11.23|57.6|HIGH|||routine
APPS|2026-05-27|34.92723492723494|96|HIGH|HIGH||strong
APPS|2026-08-05|28.29|115.2|HIGH|HIGH|unclassified|strong
APPX|2026-05-26|14.51398135818909|44.4|HIGH|none||routine
ARM|2026-05-20|16.36|100.8|HIGH|||strong
ARM|2026-07-30|10.77|60|HIGH|HIGH|mature_leader|game_changer
ARMG|2026-06-01|20.897204688908936|48|HIGH|none||routine
ARTV|2026-05-29|10.643889618922465|42|HIGH|none||routine
ARWR|2026-07-22|19.57|80|HIGH|HIGH|mature_leader|game_changer
ARX|2026-05-14|17.64|100.8|HIGH|||strong
ASAN|2026-05-29|11.56|53.3|MODERATE|||routine
ASPI|2026-05-26|10.63|54|MODERATE|||strong
ASTI|2026-05-27|13.475177304964554|38.4|HIGH|none||routine
ATRO|2026-08-12|11.29|72|HIGH|HIGH|unclassified|game_changer
AUGO|2026-06-15|13.39|50.4|none|none||routine
