12|2026-03-19|Optical Networking & Photonics Infrastructure|Nascent|live||LITE,CIEN,COHR
13|2026-03-19|Downstream Oil Refining & Midstream|Nascent|live||MPC,VLO,FANG
14|2026-03-19|Large-Cap Upstream Oil & Gas E&P|Nascent|live||XOM,EOG,COP
15|2026-03-19|Large-Cap Integrated & Upstream Oil & Gas|Nascent|live||CVX,HAL,XLE
16|2026-03-19|Optical Networking & AI Data Transmission Infrastructure|Accelerating|live||LITE,COHR,MRVL,GLW,CIEN
17|2026-03-19|Pharma & Biotech Large-Cap Turnaround|Nascent|live||MRNA,GILD,PFE
18|2026-03-19|Space Economy|Accelerating|live||JOBY,KTOS,RKLB,AJRD,BKSY,SPIR,MNTS,LUNR,ASTS,PL
19|2026-03-19|U.S. Defense Primes & Aerospace|Nascent|live||NOC,RTX,LMT,GD
20|2026-03-19|Semiconductor Capital Equipment|Nascent|live||AMAT,LRCX,KLAC
21|2026-03-19|AI Data Center Power Infrastructure|Accelerating|live||BE,VRT,PWR,GEV,NXT
22|2026-03-19|Crypto Asset Recovery|Fading|live||COIN,MSTR,RIOT,MARA,HUT,CLSK,BTBT,CIFR
23|2026-03-19|Crypto Recovery|Fading|live||CRCL
24|2026-03-19|Physical AI & Robotics|Fading|live||TSLA,IRBT,NVEI,BDTX,HYLN,FIG,BFLY,EDIT
29|2026-03-20|Downstream Oil Refining & Midstream|Retired|live||FANG,MPC,VLO
30|2026-03-20|Optical Networking & Photonics Infrastructure|Nascent|live||COHR,LITE,CIEN
31|2026-03-20|Oil & Gas|Retired|live||FANG,COP,EOG,XOM,MPC,VLO
32|2026-03-20|Large-Cap Upstream Oil & Gas E&P|Nascent|live||XOM,COP,EOG
33|2026-03-20|Large-Cap Integrated & Upstream Oil & Gas|Retired|live||HAL,XLE,CVX
34|2026-03-20|Optical Networking & AI Data Transmission Infrastructure|Accelerating|live||LITE,COHR,CIEN,MRVL,GLW
35|2026-03-20|Satellite Intelligence & Earth Observation|Accelerating|live||PL,LUNR,BKSY,SPIR
36|2026-03-20|Pharma & Biotech Large-Cap Turnaround|Retired|live||PFE,GILD,MRNA
37|2026-03-20|U.S. Defense Primes & Aerospace|Nascent|live||RTX,NOC,LMT,GD
