2026-04-13|ALMU|14.03|15.35|18.85|16.67
2026-04-13|ANL|12.08|12.06|17.04|16.6
2026-04-13|BBGI|12.39|10.4|24.9|19.01
2026-04-13|BBOT|8.63|8.95|9.6482|9.26
2026-04-13|BJRI|37.32|36.9|39.65|39.22
2026-04-13|BWET|168.31|159.05|156|138.7
2026-04-13|CRDO|123.66|134.36|174.61|174.53
2026-04-13|CRDU|6.4625|7.495|12.1875|12.1875
2026-04-13|CRWU|7.84|8.75|10.65|9.83
2026-04-13|CWVX|33.97|37.97|46.2|42.78
2026-04-13|CYD|45.74|44.73|45.155|44.17
2026-04-13|ERAS|17.84|16.31|21.85|21.71
2026-04-13|FLXS|48.4|50.27|50.17|46.25
2026-04-13|GPRE|15.5|15.67|15.975|15.625
2026-04-13|IDYA|34.92|32.82|34.665|33.6
2026-04-13|IVT|32.09|31.86|32.83|32.66
2026-04-13|KGEI|5.5|5.29|5.3554|5.08
2026-04-13|LABX|4.5933|5.5467|6.1667|6.1433
2026-04-13|LEG|10.74|11.25|12.24|11.99
2026-04-13|LWLG|11|11.39|14.82|14.18
2026-04-13|MRVU|56.815|58.04|74.62|73.18
2026-04-13|MVLL|14.61|14.8933|19.0766|18.6667
2026-04-13|NETG|8.03|9.21|11.35|11.2973
2026-04-13|OPTX|10.34|11.66|12.04|9.75
2026-04-13|RVMD|132.26|136.3|155.7|146.23
2026-04-13|SCLX|6.5|5.96|7.77|6.945
2026-04-13|SDRL|47.97|48.25|48|46.05
2026-04-13|SGML|15.38|17.39|21.82|21.69
2026-04-13|SKYQ|18.8|11.62|11.29|9.13
2026-04-13|STK|41.89|42.86|46.39|45.75
2026-04-13|SYRE|67|63.27|74.68|73.39
2026-04-13|TBRG|19.27|21.22|23.37|23.18
2026-04-13|TLX|11.03|11.24|11.25|10.73
2026-04-13|TNGX|21|21.56|27.16|26.39
2026-04-13|TRT|6.26|6.68|7.2|6.71
2026-04-13|UONE|5.5|5.36|6.47|6.3
2026-04-13|WTIU|18.27|17.78|17.35|15.3
