ABCL|2026-08-10|96|17.6|game_changer|07:20:00.041878|
ACHR|2026-08-10|54|14.85|routine|09:45:00.056891|window_missed
ACMR|2026-08-07|100.8|15.09|strong|09:00:00.160274|setup_other
AEHR|2026-07-15|96|29.5|game_changer|07:00:00.086309|
AEIS|2026-08-04|84|15.39|strong|07:55:00.027779|cap_blocked
AEVA|2026-08-06|96|22.28|strong|07:00:00.122181|duplicate_scan
AMRC|2026-08-04|50|38.72|routine|09:45:00.04515|window_missed
APPS|2026-08-05|115.2|28.29|strong|07:00:00.125835|breaker_blocked
ARM|2026-07-30|60|10.77|game_changer|08:55:00.024729|
ARWR|2026-07-22|80|19.57|game_changer|07:55:00.017081|
ATRO|2026-08-12|72|11.29|game_changer|09:20:00.043048|duplicate_scan
BE|2026-08-12|84|15.16|strong|09:50:00.050626|duplicate_scan
BLZE|2026-07-31|72|13.06|game_changer|09:55:00.216269|session_rvol_low
BLZE|2026-08-04|80|19.14|game_changer|07:00:00.134235|
BTDR|2026-08-04|80|24.1|game_changer|08:20:00.037992|
BW|2026-08-11|96|34.91|game_changer|07:00:00.124398|
CAI|2026-08-06|50.4|17.11|routine|09:50:00.05049|window_missed
CAT|2026-08-04|60|10|game_changer|08:00:00.019082|
CGEM|2026-08-13|72|12.24|game_changer|08:30:00.023714|duplicate_scan
CLSK|2026-07-14|96|17.15|game_changer|07:00:00.104766|
COHU|2026-07-31|80|22.71|game_changer|07:00:00.136648|duplicate_scan
CORT|2026-07-30|96|24.21|strong|07:00:00.118731|stop_too_wide
CORZ|2026-07-28|72|11.28|game_changer|07:35:00.025344|breaker_blocked
CRCL|2026-07-10|60|10.76|game_changer|07:05:00.018184|
CRMD|2026-08-13|64.8|10|strong|08:15:00.041881|duplicate_scan
CRWV|2026-08-12|51.6|19.51|routine|09:50:00.050626|window_missed
DCTH|2026-08-06|54|21.3|routine|09:55:00.071253|window_missed
DOCN|2026-07-07|115.2|15.62|game_changer|09:20:00.057608|
ECG|2026-08-05|72|10.96|game_changer|09:50:00.055624|outside_top20
EME|2026-07-30|60|10.56|game_changer|07:55:00.027707|outside_top20
EROC|2026-08-12|96|16.09|game_changer|07:05:00.027783|
ETON|2026-08-14|96|23.28|game_changer|07:20:00.017993|
FET|2026-07-31|84|16.04|strong|09:10:00.052874|breaker_blocked
FIGS|2026-08-07|96|26.69|game_changer|08:50:00.281727|
FLNC|2026-07-31|60|10.02|game_changer|07:00:00.136648|breaker_blocked
FRMI|2026-08-11|96|17.01|game_changer|07:00:00.124398|
FROG|2026-08-07|100.8|17.51|strong|08:50:00.281727|
FTK|2026-08-03|60|10.45|game_changer|08:45:00.029686|high_unentered
FTNT|2026-07-30|60|10.1|game_changer|07:00:00.118731|
