===Q1_LIVE_BOOK===
id|ticker|alert_date|regime|status|orb_high|orb_low|atr_14|entry_price|entry_shares|stop_price|hard_stop|position_size|risk_dollars|remaining_shares|total_pnl|partial_taken|pnl_attribution|signal_type|filled_et|closed_et|skip_reason
276|WKC|2026-07-24|Correcting|closed|39.995|39|0.922857142857144|40.16|20|39|39|799.9|20.16|0|-23.799999999999955|f||magna53|2026-07-24 09:33:18|2026-07-24 12:02:39|block:r3_reentry_disabled
279|QBTS|2026-07-27|Correcting|closed|18.17|17.75|1.2432357142857147|18.17|53|17.75|17.75|963.01|24.2|0|-22.26000000000009|f||magna53|2026-07-27 09:31:31|2026-07-28 09:36:25|
280|NNE|2026-07-27||skipped||||||||||0|0|f||magna53|||window:out_of_orb: detected 09:56 ET
281|CORZ|2026-07-28|Correcting|skipped||||||||||0|0|f||magna53|||block:circuit_breaker: cooldown until 2026-07-28T14:37:45.699612+00:00
282|TER|2026-07-29|Correcting|skipped||||||||||0|0|f||magna53|||block:circuit_breaker: cooldown until 2026-07-29T13:36:25.188082+00:00
283|TEVA|2026-07-29||skipped||||||||||0|0|f||magna53|||window:out_of_orb: detected 09:51 ET
284|ARM|2026-07-30|Crisis|cancelled|268.48|257.33|21.523528571428567|268.48|1|257.33|257.33|268.48|11.96|0|0|f||magna53|||ORB window unfilled
285|SIMO|2026-07-30|Crisis|skipped||||||||||0|0|f||magna53|||setup:size_too_small: $12 risk / $29.11 per-share < 1 share
286|CORT|2026-07-30|Crisis|skipped||||||||||0|0|f||magna53|||setup:stop_too_wide: ORB range $7.25 (6.9%) > 1.5x ATR $6.89
287|EME|2026-07-30|Crisis|skipped||||||||||0|0|f||magna53|||setup:size_too_small: $12 risk / $16.65 per-share < 1 share
290|PWR|2026-07-30|Crisis|skipped||||||||||0|0|f||magna53|||setup:size_too_small: $12 risk / $21.95 per-share < 1 share
291|FTNT|2026-07-30|Crisis|closed|166.65|160.185|6.498778571428572|166.65|1|160.185|160.185|166.65|11.96|0|-6.6299999999999955|f||magna53|2026-07-30 09:32:08|2026-07-30 09:37:50|block:r3_reentry_disabled
294|LRCX|2026-07-30||skipped||||||||||0|0|f||magna53|||window:out_of_orb: detected 09:51 ET
295|FLNC|2026-07-31|Correcting|skipped||||||||||0|0|f||magna53|||block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00
296|COHU|2026-07-31|Correcting|skipped||||||||||0|0|f||magna53|||block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00
297|NWL|2026-07-31|Correcting|skipped||||||||||0|0|f||magna53|||block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00
