A|2025-07-07|120.4|120.75|118.1|119.25|1459911
A|2025-07-08|119.58|123.11|119.28|121.01|1917086
A|2025-07-09|121.4|122.35|118.9|121.3|1806744
A|2025-07-10|121.63|126.435|120.94|124.17|2269535
A|2025-07-11|122.93|123.66|122.335|123.28|1382971
A|2025-07-14|121.84|121.86|119.27|120.08|2028729
A|2025-07-15|118|119.76|111.93|112.94|3950858
A|2025-07-16|113.46|114.46|111.86|113.43|2248845
A|2025-07-17|114.1|116.57|113.25|116.36|1552869
A|2025-07-18|116.82|117.2|113.53|113.99|1521861
A|2025-07-21|113.23|113.66|110.75|112.04|2060791
A|2025-07-22|112.85|117.05|112.14|116.19|1692114
A|2025-07-23|119.38|120.79|117.48|119.47|1939728
A|2025-07-24|119.43|122.75|119.43|120.35|1602812
A|2025-07-25|120.5|121.01|119.02|120.18|1972730
A|2025-07-28|119.41|120.77|118.72|119.54|1679152
A|2025-07-29|119.75|120.505|118.855|119.84|1212204
A|2025-07-30|120.24|120.46|117.23|118.05|979111
A|2025-07-31|116.57|118.34|114.47|114.81|2339514
A|2025-08-01|113.45|114.32|111.19|113.5|1888649
A|2025-08-04|113.17|115.03|112.01|114.84|1343207
A|2025-08-05|114.81|115.43|114.25|114.89|1271053
A|2025-08-06|115.08|115.08|112.56|113.23|1058665
A|2025-08-07|114.5|114.92|113.16|113.98|1157465
A|2025-08-08|114.31|115|113.39|114.62|1129762
A|2025-08-11|115.04|115.67|113.73|114.13|1082339
A|2025-08-12|114.51|117.37|114.395|117.32|917388
A|2025-08-13|118.06|120.395|117.86|120.29|983597
A|2025-08-14|119.23|119.405|118.15|118.87|926367
A|2025-08-15|119.61|119.96|118.49|119.2|1238471
A|2025-08-18|119.12|119.6|118.15|118.15|1021103
A|2025-08-19|118.5|120.59|118.145|120.11|1313481
A|2025-08-20|119.87|120.46|118.2801|119.11|1431859
A|2025-08-21|118.49|118.7|117.03|117.15|744734
A|2025-08-22|118.27|122.41|117.465|121.63|1290989
A|2025-08-25|121.5|121.685|118.48|119.15|1482531
A|2025-08-26|119.23|119.63|118.105|118.3|1898309
A|2025-08-27|118.5|119.2|117.51|118.69|1698630
A|2025-08-28|118.8|125.4204|118.2|124.96|3886441
A|2025-08-29|125|126.3|124.11|125.66|1781215
A|2025-09-02|124.88|125.52|121.8|125.21|2412797
A|2025-09-03|124.96|125.83|123.72|125.22|2497362
A|2025-09-04|125|128.83|123.8|128.48|2715490
A|2025-09-05|128.72|131|128.39|128.75|1633203
A|2025-09-08|127.475|128.42|126.28|128.13|2136444
A|2025-09-09|128.1|128.265|125.85|126.25|1470310
A|2025-09-10|125.92|126.72|124.01|124.12|1669516
A|2025-09-11|125.51|127.045|124.87|126.73|1474119
A|2025-09-12|126.45|126.525|123.13|123.24|1250891
A|2025-09-15|123.99|126.41|123.7|125.63|2084922
A|2025-09-16|125.63|127.5814|125.02|127.19|1721123
A|2025-09-17|127.72|130.08|126.38|126.72|1921728
A|2025-09-18|127.76|128.54|126.76|127.62|1513336
A|2025-09-19|128.28|128.55|126.015|126.32|2844313
