ARGX|2026-08-17|0.029069691417120923|f|HIGH|0.5833333333333334|2|0.5833333333333334|2|927.33|925.62|24|1058.69|1072.75|980.45
CBRS|2026-08-17|0.10710531864641429|f|none|0.4166666666666667|2|0.4166666666666667|2|224|223.44|24|261.08|261.08|184.14
AMLX|2026-08-18|0.06557515392793692|t|HIGH|0.5|1|0.5|1|29.91|28|23|41.14|41.14|35.3207
MRNA|2026-08-19|0.057226304446968426|t|HIGH|0.875|4|0.875|4|116.02|114.46|22|176.66|176.66|128.61
MRVL|2026-08-19|0.06733150667121043|t|HIGH|0.2916666666666667|4|0.2916666666666667|4|240.13|228.1001|22|252.52|254.6|220.4201
TEM|2026-08-19|0.06102534594604141|f|none|0.4583333333333333|4|0.375|4|55.98|54.81|22|72.96|81.28|61.7
TWST|2026-08-19|0.07218873539108171|f|HIGH|0.375|4|0.4583333333333333|4|128|127.75|22|154.96|163.695|135.05
BULL|2026-08-20|0.043510037544533635|f|HIGH|0.5|3|0.5|3|9.94|8.82|21|9.95|10.19|8.41
RARE|2026-08-20|0.05178879188253245|f|HIGH|0.27777777777777773|3|0.3888888888888889|3|28.39|25.04|21|28.5|28.5|25.3
SCSC|2026-08-20|0.03563768086192865|f|none|0.7222222222222223|3|0.6111111111111112|3|64.84|56.0001|21|66.78|66.78|53.41
UUUU|2026-08-21|0.06219833759904222|f|HIGH|0.5|1|0.5|1|14.63|14.58|20|16.5|16.5|14.5314
CHRN|2026-08-27|0.10083704687602638|f|HIGH|0.43333333333333335|5|0.43333333333333335|5|22.36|20.65|16|24.37|24.37|17.3
CRWD|2026-08-27|0.04360382197498185|t|HIGH|0.43333333333333335|5|0.5|5|208.25|206.1|16|233.88|250.32|200.6
DG|2026-08-27|0.025473670177846335|f|HIGH|0.2333333333333333|5|0.2333333333333333|5|127.84|124.5|16|134.125|134.125|121.34
OKTA|2026-08-27|0.04460538133723306|t|HIGH|0.7666666666666666|5|0.6999999999999998|5|166.15|156.5|16|174.85|192.59|157.73
VEEV|2026-08-27|0.032845685107894575|f|HIGH|0.6333333333333333|5|0.6333333333333333|5|275.355|274.81|16|296.24|296.24|273.6
SOLS|2026-08-28|0.03297962633363907|t|HIGH|0.5|1|0.5|1|65|63.13|15|67.5|67.5|60.3
AGX|2026-09-03|0.05279928509456659|f|HIGH|0.27777777777777773|3|0.27777777777777773|3|427.27|400.6|11|444.5267|444.5267|394.69
HOOD|2026-09-03|0.04899688333133697|t|HIGH|0.6111111111111112|3|0.6111111111111112|3|113.8|113.04|11|125.25|125.25|111.02
SNOW|2026-09-03|0.0369254109960965|f|HIGH|0.6111111111111112|3|0.6111111111111112|3|377.245|355.47|11|384.56|384.56|323.42
ALAB|2026-09-04|0.05806874530804714|f|MODERATE|0.5|1|0.5|1|286|285.84|10|321.6499|321.6499|256.51
ERO|2026-09-08|0.04696710381070877|f|MODERATE|0.25|6|0.19444444444444445|6|36.83|36.69|9|39.36|39.36|31.91
IONQ|2026-09-08|0.054828799279773355|f|HIGH|0.4166666666666667|6|0.25000000000000006|6|42.32|39.45|9|44.43|44.43|35
PHVS|2026-09-08|0.04751329773733683|t|HIGH|0.8055555555555555|6|0.8055555555555555|6|40.96|37.6|9|43.25|43.25|37
QCOM|2026-09-08|0.029207890629115087|f|HIGH|0.3611111111111111|6|0.5833333333333334|6|180.4|172.0352|9|190.06|192.12|170.51
ROIV|2026-09-08|0.03267032108277614|f|HIGH|0.75|6|0.6944444444444445|6|39.98|38.41|9|42.5|42.5|39.215
SEI|2026-09-08|0.05749066144008733|t|HIGH|0.4166666666666667|6|0.47222222222222227|6|61.85|60.3|9|70.33|70.34|60.5901
DFTX|2026-09-14|0.04550705948107117|t|HIGH|0.75|2|0.5833333333333334|2|43.53|39.5|5|43.77|43.77|36.7
SRRK|2026-09-14|0.04113111038208036|f|HIGH|0.25|2|0.4166666666666667|2|56.505|51.58|5|56.9|56.9|45.875
CIFR|2026-09-16|0.08340220515784348|f|MODERATE|0.5|1|0.5|1|15.92|15.83|3|18.438|18.438|16.57
GNRC|2026-09-17|0.036518622862884945|f|HIGH|0.75|2|0.75|2|229.5|202.26|2|231.8871|231.8871|201.5801
VICR|2026-09-17|0.06342465159442137|t|HIGH|0.25|2|0.25|2|206.55|206.55|2|223.87|223.87|212.2
