CAP	AMD	851092003526.05
CAP	BSX	65771216670.75
CAP	BW	1431836288.2199998
CAP	CRCL	15501201230.8
CAP	CRMD	617416382.17
CAP	CRSR	1052789778.3499999
CAP	CSCO	449993595703.05
CAP	DELL	282687312250.0
CAP	DY	12907819673.55
CAP	FPS	9330365255.41
CAP	FTRE	1846293929.6
CAP	GLXY	4343034545.64
CAP	GOOGL	3910399362863.94
CAP	HUT	12384226378.88
CAP	IBM	201795764994.1
CAP	INTC	465662079999.99994
CAP	JBL	32755396150.51
CAP	KLAR	6564050116.96
CAP	KURA	922365652.35
CAP	MANE	4575184013.37
CAP	MRAM	353823936.93
CAP	NAVN	5900485278.4
CAP	NRIX	2426415748.54
CAP	NVCR	2044239590.9999998
CAP	NVTS	2659621844.88
CAP	OMCL	1864635269.0
CAP	PURR	1216663410.45
CAP	QURE	2679354993.06
CAP	RCAT	1162748904.6
CAP	RLAY	4018819722.0800004
CAP	ROIV	25181656178.85
CAP	RUM	1574497874.56
CAP	SMCI	19470878112.7
CAP	SYRE	8869097168.89
CAP	TEAM	22047351850.559998
CAP	THC	20087148400.0
CAP	TSEM	26378100478.8
CAP	WDFC	3104702137.6800003
CAP	WKC	1958696901.14
CAP	WULF	9147532626.7
