ticker	trade_date	open_price	high_price	low_price	close	volume
AAL	2025-06-23	10.5	11.01	10.26	10.9	79689239
AAL	2025-06-24	11.235	11.46	11.1	11.37	65028794
AAL	2025-06-25	11.43	11.45	10.95	11.06	41413377
AAL	2025-06-26	11.14	11.28	11.12	11.13	40538274
AAL	2025-06-27	11.185	11.46	11.14	11.28	45533250
AAL	2025-06-30	11.3	11.3295	11.18	11.22	31253977
AAL	2025-07-01	11.185	11.71	11.16	11.52	50295856
AAL	2025-07-02	11.53	11.79	11.425	11.63	41694321
AAL	2025-07-03	11.725	11.93	11.665	11.69	30316520
AAL	2025-07-07	11.59	11.97	11.44	11.59	53396347
AAL	2025-07-08	11.73	11.9	11.55	11.58	51605672
AAL	2025-07-09	11.71	11.88	11.39	11.48	67085332
AAL	2025-07-10	12.295	13.18	12.13	12.94	148906640
AAL	2025-07-11	12.815	12.905	12.2	12.22	83964137
AAL	2025-07-14	12.24	12.41	12.13	12.38	59159162
AAL	2025-07-15	12.45	12.5	12.15	12.17	58482155
AAL	2025-07-16	12.29	12.34	11.91	12.27	67256518
AAL	2025-07-17	12.6	12.95	12.35	12.45	88948410
AAL	2025-07-18	12.52	12.59	12.2	12.51	70423474
AAL	2025-07-21	12.58	12.6253	12.31	12.32	50840965
AAL	2025-07-22	12.33	12.55	12.18	12.5	54783199
AAL	2025-07-23	12.55	12.79	12.52	12.68	75685375
AAL	2025-07-24	11.79	11.84	11.33	11.46	120265673
AAL	2025-07-25	11.55	11.7	11.46	11.5	63485351
AAL	2025-07-28	11.5	11.63	11.4	11.58	70184267
AAL	2025-07-29	11.61	11.64	11.38	11.42	71092101
AAL	2025-07-30	11.43	11.63	11.31	11.51	73201190
AAL	2025-07-31	11.47	11.64	11.36	11.49	84750983
AAL	2025-08-01	11.21	11.2139	10.9	11.03	71614740
AAL	2025-08-04	11.1	11.305	11.07	11.27	70570611
AAL	2025-08-05	11.3	11.69	11.13	11.64	65277201
AAL	2025-08-06	11.59	11.78	11.48	11.74	60394593
AAL	2025-08-07	11.79	11.8	11.59	11.73	47172456
AAL	2025-08-08	11.78	11.8081	11.56	11.62	42444681
AAL	2025-08-11	11.6	11.76	11.55	11.58	51215266
AAL	2025-08-12	11.78	13.02	11.77	12.98	114968265
AAL	2025-08-13	12.965	13.22	12.74	13.11	64807836
AAL	2025-08-14	12.92	12.9353	12.66	12.82	58323116
AAL	2025-08-15	12.89	13.19	12.855	13.17	49638811
AAL	2025-08-18	13.12	13.33	13.045	13.17	52979598
AAL	2025-08-19	13.26	13.3799	13.11	13.22	57901493
AAL	2025-08-20	13.055	13.155	12.75	12.8	66701112
AAL	2025-08-21	12.71	12.7381	12.48	12.57	62854141
AAL	2025-08-22	12.58	13.58	12.58	13.55	63154021
AAL	2025-08-25	13.27	13.3199	12.88	13	76115708
AAL	2025-08-26	13.005	13.17	12.88	13.15	61358465
AAL	2025-08-27	13.13	13.36	13.035	13.13	52985615
AAL	2025-08-28	13.22	13.35	13.06	13.25	66938043
AAL	2025-08-29	13.25	13.39	13.1432	13.37	69403134
AAL	2025-09-02	13.26	13.515	12.94	13.39	93846253
AAL	2025-09-03	13.45	14.01	13.4	13.44	82605945
AAL	2025-09-04	13.47	13.66	12.85	12.86	81506006
AAL	2025-09-05	12.92	13.28	12.81	13.08	90367765
AAL	2025-09-08	13.07	13.22	12.89	12.95	90099574
AAL	2025-09-09	12.94	12.99	12.64	12.76	65458833
AAL	2025-09-10	12.76	13.1	12.635	12.82	87363357
AAL	2025-09-11	12.95	13.09	12.61	12.95	105705462
AAL	2025-09-12	12.99	13.23	12.89	12.91	86688408
AAL	2025-09-15	12.94	12.96	12.48	12.53	100888780
AAL	2025-09-16	12.6	12.615	12.1636	12.41	91199217
AAL	2025-09-17	12.435	12.82	12.36	12.48	107200007
AAL	2025-09-18	12.59	12.625	12.47	12.58	112649053
AAL	2025-09-19	12.65	12.67	12.31	12.45	80623165
AAL	2025-09-22	12.38	12.425	12	12.33	94808806
AAL	2025-09-23	12.38	12.49	12.19	12.19	73074316
AAL	2025-09-24	12.22	12.26	11.94	11.94	90095838
AAL	2025-09-25	11.795	11.8	11.36	11.39	101250825
AAL	2025-09-26	11.45	11.51	11.26	11.31	82480516
AAL	2025-09-29	11.4	11.51	11.19	11.38	92618226
AAL	2025-09-30	11.42	11.46	11.07	11.24	92462358
AAL	2025-10-01	11.25	11.39	11.16	11.27	81132841
AAL	2025-10-02	11.36	11.6	11.29	11.43	77782206
AAL	2025-10-03	11.53	11.63	11.37	11.58	76751064
AAL	2025-10-06	11.65	11.88	11.435	11.83	93101324
AAL	2025-10-07	11.935	11.97	11.52	11.66	61899122
AAL	2025-10-08	11.7	12.03	11.56	11.81	64073694
AAL	2025-10-09	12.44	12.5	11.51	11.62	101536285
AAL	2025-10-10	11.7	12.0551	11.42	11.52	72653462
AAL	2025-10-13	11.635	11.8577	11.63	11.74	44005463
AAL	2025-10-14	11.59	12.28	11.52	12.19	64417222
AAL	2025-10-15	12.235	12.52	12.15	12.5	52091808
AAL	2025-10-16	12.55	12.565	11.72	11.89	63933244
AAL	2025-10-17	11.86	12.02	11.83	11.86	34776331
AAL	2025-10-20	11.93	12.24	11.8712	12.17	39206527
AAL	2025-10-21	12.18	12.4	12.08	12.35	38279130
AAL	2025-10-22	12.27	12.325	11.99	12.09	58320099
AAL	2025-10-23	12.74	13.04	12.35	12.77	91013202
AAL	2025-10-24	13	13.89	12.9	13.78	94348487
AAL	2025-10-27	13.775	13.85	13.34	13.41	53287508
AAL	2025-10-28	13.45	13.46	12.65	12.71	53804154
AAL	2025-10-29	12.72	13	12.64	12.97	45282677
AAL	2025-10-30	12.79	13.155	12.7	12.78	53799351
AAL	2025-10-31	12.72	13.14	12.64	13.13	44811213
AAL	2025-11-03	13.09	13.5	12.98	13.34	54052140
AAL	2025-11-04	13.06	13.205	12.53	12.65	58509130
AAL	2025-11-05	12.755	13.54	12.75	13.42	61167628
AAL	2025-11-06	13.35	13.55	12.95	13.15	67160851
AAL	2025-11-07	12.8	13.77	12.7501	13.65	69622713
AAL	2025-11-10	13.87	14.05	13.27	13.31	53858388
AAL	2025-11-11	13.3	13.36	12.95	12.99	41261586
AAL	2025-11-12	13.1	13.53	13.02	13.46	46029187
AAL	2025-11-13	13.32	13.5025	13	13.07	38615879
