2025-12-26|9693
2026-01-02|9723
2026-01-09|9772
2026-01-16|9798
2026-01-23|9874
2026-01-30|9813
2026-02-06|9767
2026-02-13|9780
2026-02-20|9772
2026-02-27|9809
2026-03-06|9784
2026-03-13|9797
2026-03-19|168
2026-03-20|172
2026-03-21|9784
2026-03-23|9789
2026-03-24|3857
2026-03-25|3844
2026-03-26|3825
2026-03-27|3815
2026-03-30|3820
2026-03-31|3857
2026-04-01|3833
2026-04-02|3846
2026-04-06|3840
2026-04-07|3818
2026-04-08|3869
2026-04-09|3832
2026-04-10|3844
2026-04-13|3869
2026-04-14|3880
2026-04-15|3895
2026-04-16|3885
2026-04-17|3920
2026-04-20|3930
2026-04-21|3921
2026-04-22|3929
2026-04-23|3901
2026-04-24|3881
2026-04-27|3915
2026-04-28|3915
2026-04-29|3932
2026-04-30|3909
2026-05-01|3895
2026-05-04|3979
2026-05-05|3950
2026-05-06|3986
2026-05-07|3963
2026-05-08|3961
2026-05-11|3981
2026-05-12|3939
2026-05-13|3938
2026-05-14|3955
2026-05-15|3914
2026-05-18|3933
2026-05-19|3888
2026-05-20|3927
2026-05-21|3932
2026-05-22|3941
2026-05-26|3959
2026-05-27|3963
2026-05-28|3984
2026-05-29|4008
2026-05-30|1
2026-06-01|4011
2026-06-02|3977
2026-06-03|3969
2026-06-04|3959
2026-06-05|3914
2026-06-08|3954
2026-06-09|3929
2026-06-10|3962
2026-06-11|3969
2026-06-12|3944
2026-06-15|3969
2026-06-16|2451
2026-06-17|2428
2026-06-18|2454
2026-06-22|2489
2026-06-23|2481
2026-06-24|2482
2026-06-25|2467
2026-06-26|2483
2026-06-29|2506
2026-06-30|2530
2026-07-01|2513
2026-07-02|2502
2026-07-05|1
2026-07-06|2522
2026-07-07|2509
2026-07-08|2501
2026-07-09|2504
2026-07-10|2503
2026-07-12|1
2026-07-13|2500
2026-07-14|2500
2026-07-15|2487
2026-07-16|2484
2026-07-17|2456
2026-07-20|2455
2026-07-21|2456
2026-07-22|2441
2026-07-23|2429
2026-07-24|2421
2026-07-27|2413
2026-07-28|2420
2026-07-29|2405
2026-07-30|2401
2026-07-31|2389
2026-08-03|2415
2026-08-04|2426
2026-08-05|2423
2026-08-06|2415
2026-08-07|2411
2026-08-08|1
2026-08-10|2433
2026-08-11|2436
2026-08-12|2426
2026-08-13|2438
2026-08-14|2444
