ABCL|2026-08-10|96|HIGH|17.6|game_changer|2026-08-10 11:20:17.740329+00
ABSI|2026-06-24|100.8|HIGH|16.33|strong|2026-06-24 11:00:54.791964+00
ABVX|2026-06-03|50.4|MODERATE|15.14|routine|2026-06-03 12:20:02.214001+00
ACAD|2026-06-26|84|HIGH|15.34|strong|2026-06-26 12:00:01.539628+00
ACHR|2026-08-10|54|HIGH|14.85|routine|2026-08-10 13:45:10.697584+00
ACMR|2026-08-07|100.8|HIGH|15.09|strong|2026-08-07 13:00:51.610392+00
AEHR|2026-06-17|70|MODERATE|15.87|strong|2026-06-17 13:50:45.110523+00
AEHR|2026-07-15|96|HIGH|29.5|game_changer|2026-07-15 11:00:20.624439+00
AEIS|2026-08-04|84|HIGH|15.39|strong|2026-08-04 11:55:06.780905+00
AEVA|2026-08-06|96|HIGH|22.28|strong|2026-08-06 11:02:38.216702+00
AGX|2026-06-05|86.4|HIGH|10.96|game_changer|2026-06-05 11:05:18.249151+00
AGYS|2026-05-19|72|HIGH|14.81|strong|2026-05-19 11:00:11.605982+00
AIP|2026-05-13|115.2|HIGH|20.81|strong|2026-05-13 11:00:26.369067+00
AKTS|2026-06-12|54|HIGH|11.92|strong|2026-06-12 13:55:51.483713+00
ALAB|2026-05-20|100.8|HIGH|15.68|strong|2026-05-20 22:42:18.867676+00
ALOY|2026-06-01|86.4|HIGH|14.25|strong|2026-06-01 13:55:33.042354+00
AMBQ|2026-05-12|84|HIGH|18.68|strong|2026-05-12 11:55:24.605118+00
AMLX|2026-08-18|96|HIGH|21.33|game_changer|2026-08-18 11:20:01.967233+00
AMRC|2026-08-04|50|HIGH|38.72|routine|2026-08-04 13:45:31.667676+00
ANF|2026-05-27|57.6|HIGH|11.23|routine|2026-05-27 13:55:32.30275+00
APPS|2026-08-05|115.2|HIGH|28.29|strong|2026-08-05 11:00:35.497591+00
ARGX|2026-08-17|86.4|HIGH|10.53|game_changer|2026-08-17 11:20:13.104619+00
ARM|2026-05-20|100.8|HIGH|16.36|strong|2026-05-20 22:41:59.069865+00
ARM|2026-07-30|60|HIGH|10.77|game_changer|2026-07-30 12:55:35.483485+00
ARWR|2026-07-22|80|HIGH|19.57|game_changer|2026-07-22 11:55:25.126121+00
ARX|2026-05-14|100.8|HIGH|17.64|strong|2026-05-14 13:50:40.254102+00
ASAN|2026-05-29|53.3|MODERATE|11.56|routine|2026-05-29 13:45:39.176898+00
ASPI|2026-05-26|54|MODERATE|10.63|strong|2026-05-26 11:51:04.74314+00
ASTI|2026-05-27|61.9|MODERATE|13.48|routine|2026-05-27 13:45:12.203093+00
ATRO|2026-08-12|72|HIGH|11.29|game_changer|2026-08-12 13:20:25.638075+00
AUGO|2026-06-15|50.4|none|13.39|routine|2026-06-15 13:51:30.459692+00
AVAV|2026-05-28|72|HIGH|10.33|strong|2026-05-28 11:02:19.600706+00
AVAV|2026-06-30|54|HIGH|25.3|routine|2026-06-30 11:00:29.947946+00
AVEX|2026-05-12|54.7|MODERATE|8.28|strong|2026-05-12 13:15:35.101155+00
BBWI|2026-05-27|54.7|HIGH|15|routine|2026-05-27 13:50:15.816768+00
BE|2026-08-12|84|HIGH|15.16|strong|2026-08-12 13:50:14.287183+00
BHVN|2026-05-29|64.8|MODERATE|11.47|strong|2026-05-29 13:50:48.562429+00
BLSH|2026-08-13|54|MODERATE|12.4|routine|2026-08-13 13:56:02.36565+00
BLZE|2026-07-31|72|HIGH|13.06|game_changer|2026-07-31 13:55:31.074035+00
BLZE|2026-08-04|80|HIGH|19.14|game_changer|2026-08-04 11:01:10.569307+00
BRUN|2026-08-12|60|none|12.04|strong|2026-08-12 12:55:28.152315+00
BTDR|2026-08-04|80|HIGH|24.1|game_changer|2026-08-04 12:20:21.714877+00
BTGO|2026-05-26|50.4|MODERATE|15.87|routine|2026-05-26 11:10:19.050607+00
BULL|2026-08-20|100.8|HIGH|15.16|strong|2026-08-20 11:10:03.282075+00
BW|2026-05-11|96|HIGH|26.07|strong|2026-05-11 11:00:19.033631+00
BW|2026-08-11|96|HIGH|34.91|game_changer|2026-08-11 11:00:37.917529+00
BZH|2026-05-11|84|HIGH|19.93|strong|2026-05-11 11:20:11.473991+00
CAI|2026-08-06|50.4|HIGH|17.11|routine|2026-08-06 13:52:35.726349+00
CAMT|2026-06-02|50.4|MODERATE|10.37|strong|2026-06-02 12:40:40.361205+00
CAT|2026-08-04|60|HIGH|10|game_changer|2026-08-04 12:01:06.569105+00
CBRL|2026-06-10|54.7|MODERATE|25.33|routine|2026-06-10 13:50:11.15644+00
CBRS|2026-08-17|60|none|12.78|strong|2026-08-17 13:55:24.993809+00
CGEM|2026-08-13|72|HIGH|12.24|game_changer|2026-08-13 12:30:07.788434+00
CHA|2026-05-29|50.4|MODERATE|12.48|routine|2026-05-29 11:45:20.729512+00
CHTR|2026-06-29|55|none|26.14|routine|2026-06-29 13:45:11.603861+00
CLF|2026-07-23|84|MODERATE|15.03|strong|2026-07-23 13:05:03.523656+00
CLSK|2026-07-14|96|HIGH|17.15|game_changer|2026-07-14 11:00:36.339174+00
COHU|2026-07-31|80|HIGH|22.71|game_changer|2026-07-31 11:00:30.020457+00
CORT|2026-07-30|96|HIGH|24.21|strong|2026-07-30 11:00:30.285659+00
CORZ|2026-07-28|72|HIGH|11.28|game_changer|2026-07-28 11:35:24.348453+00
CPA|2026-05-14|67.7|HIGH|13.12|strong|2026-05-14 13:55:19.571288+00
CRCL|2026-07-10|60|HIGH|10.76|game_changer|2026-07-10 11:05:12.703203+00
CRMD|2026-05-14|64.8|HIGH|12.35|strong|2026-05-14 12:10:11.342984+00
CRMD|2026-08-13|64.8|HIGH|10|strong|2026-08-13 12:15:30.131065+00
CRSR|2026-05-27|100.8|HIGH|15.33|strong|2026-05-27 12:15:05.527002+00
CRSR|2026-08-07|84|MODERATE|16.87|strong|2026-08-07 12:52:16.31151+00
CRWV|2026-08-12|51.6|HIGH|19.51|routine|2026-08-12 13:50:13.273062+00
CSCO|2026-05-14|100.8|HIGH|16.32|strong|2026-05-14 11:00:22.812258+00
DCTH|2026-08-06|54|HIGH|21.3|routine|2026-08-06 13:55:20.637529+00
DELL|2026-05-29|115.2|HIGH|36.26|strong|2026-05-29 11:00:21.014162+00
DFTX|2026-06-22|60|HIGH|14.38|game_changer|2026-06-22 11:20:45.240519+00
DOCN|2026-07-07|115.2|HIGH|15.62|game_changer|2026-07-07 13:20:17.458776+00
DOCS|2026-08-07|54|MODERATE|178.8|routine|2026-08-07 11:30:07.172448+00
DRTS|2026-05-11|50.4|MODERATE|10.46|strong|2026-05-11 11:35:13.189638+00
DY|2026-05-27|50.4|HIGH|14.16|strong|2026-05-27 11:20:22.945213+00
DYN|2026-05-20|84|HIGH|17.86|strong|2026-05-20 22:41:24.235437+00
ECG|2026-08-05|72|HIGH|10.96|game_changer|2026-08-05 13:51:13.795903+00
EFOR|2026-07-22|50.4|MODERATE|12.37|routine|2026-07-22 13:50:27.483359+00
ELVN|2026-06-11|84|HIGH|18.33|strong|2026-06-11 12:40:01.469943+00
EME|2026-07-30|60|HIGH|10.56|game_changer|2026-07-30 11:55:36.450247+00
EOSE|2026-05-13|115.2|HIGH|31.11|strong|2026-05-13 11:00:12.131094+00
EROC|2026-08-12|96|HIGH|16.09|game_changer|2026-08-12 11:05:19.393543+00
ETON|2026-08-14|96|HIGH|23.28|game_changer|2026-08-14 11:20:20.292052+00
EVTC|2026-05-19|54.7|MODERATE|11.25|strong|2026-05-19 11:15:13.799556+00
FCEL|2026-06-24|84|HIGH|17.51|strong|2026-06-24 11:20:24.398621+00
FET|2026-07-31|84|HIGH|16.04|strong|2026-07-31 13:10:28.442504+00
FIG|2026-05-15|57.6|MODERATE|8.65|strong|2026-05-15 11:00:34.886507+00
FIGS|2026-08-07|96|HIGH|26.69|game_changer|2026-08-07 12:51:12.367672+00
FLNC|2026-07-31|60|HIGH|10.02|game_changer|2026-07-31 11:02:30.303393+00
FPS|2026-05-14|84|HIGH|17.75|strong|2026-05-14 11:00:09.855711+00
FRMI|2026-08-11|96|HIGH|17.01|game_changer|2026-08-11 11:01:07.963594+00
FROG|2026-08-07|100.8|HIGH|17.51|strong|2026-08-07 12:51:58.371351+00
FTK|2026-08-03|60|HIGH|10.45|game_changer|2026-08-03 12:45:20.425823+00
FTNT|2026-07-30|60|HIGH|10.1|game_changer|2026-07-30 11:02:11.525908+00
FUTU|2026-05-26|51.6|MODERATE|15.53|routine|2026-05-26 13:52:05.875932+00
GEMI|2026-05-15|96|HIGH|22.24|strong|2026-05-15 11:00:18.869974+00
GH|2026-05-20|96|HIGH|17.01|game_changer|2026-05-20 22:41:37.11869+00
GLBE|2026-08-12|72|HIGH|10.67|game_changer|2026-08-12 11:06:14.913598+00
GLOB|2026-05-15|89.3|HIGH|10.59|strong|2026-05-15 13:50:20.298059+00
GO|2026-05-14|84|HIGH|17.38|strong|2026-05-14 11:00:16.219579+00
GRND|2026-07-01|56.4|MODERATE|13.26|strong|2026-07-01 13:50:22.001572+00
GRRR|2026-06-02|100.8|HIGH|17.64|strong|2026-06-02 13:20:23.361679+00
HAS|2026-07-21|72|HIGH|10.61|game_changer|2026-07-21 13:50:35.079586+00
HGTY|2026-08-05|60.5|HIGH|11.69|strong|2026-08-05 13:55:45.372599+00
HLIT|2026-05-12|84|HIGH|15.2|strong|2026-05-12 11:25:18.508749+00
HLIT|2026-08-13|96|HIGH|23.79|game_changer|2026-08-13 11:00:23.563694+00
HPE|2026-06-02|115.2|HIGH|25.28|strong|2026-06-02 11:00:15.231824+00
HQ|2026-06-15|84|MODERATE|19.71|strong|2026-06-15 13:50:43.691284+00
HRB|2026-08-12|100.8|MODERATE|16.76|strong|2026-08-12 13:45:13.101221+00
HTFL|2026-08-14|96|HIGH|25.12|game_changer|2026-08-14 11:00:38.903063+00
HUT|2026-07-20|72|HIGH|11.54|game_changer|2026-07-20 11:05:20.545505+00
HYMC|2026-06-15|53.3|MODERATE|13.82|routine|2026-06-15 13:56:11.420121+00
IBRX|2026-05-20|72|HIGH|10.18|strong|2026-05-20 13:50:50.385706+00
IDCC|2026-06-11|84|HIGH|15.2|strong|2026-06-11 13:50:37.737443+00
IDR|2026-06-15|50.4|none|18.71|routine|2026-06-15 13:50:43.820922+00
IMVT|2026-05-20|115.2|HIGH|35.26|strong|2026-05-20 22:40:47.65887+00
INFQ|2026-05-21|115.2|HIGH|22|strong|2026-05-21 11:00:18.436488+00
INOD|2026-08-07|51.6|MODERATE|14.83|strong|2026-08-07 12:53:13.292686+00
INSM|2026-08-06|96|HIGH|16.14|game_changer|2026-08-06 11:25:30.358146+00
INSP|2026-08-04|55|MODERATE|22.29|routine|2026-08-04 13:45:45.555848+00
IREN|2026-07-20|72|HIGH|13.15|game_changer|2026-07-20 13:50:28.961695+00
JBIO|2026-06-22|66|none|10.11|strong|2026-06-22 13:51:13.162378+00
JBL|2026-06-17|60|HIGH|10.77|game_changer|2026-06-17 13:35:53.163604+00
KC|2026-07-08|50|MODERATE|11.76|strong|2026-07-08 13:50:14.270278+00
KLAR|2026-05-14|84|HIGH|19.57|strong|2026-05-14 11:50:14.448766+00
KMT|2026-08-05|72|HIGH|14.39|game_changer|2026-08-05 13:00:33.925729+00
KODK|2026-08-05|54.7|HIGH|10.86|strong|2026-08-05 11:02:39.014112+00
KSS|2026-05-28|64.8|MODERATE|21.73|routine|2026-05-28 13:45:24.619716+00
KTOS|2026-05-28|64.8|MODERATE|10.54|strong|2026-05-28 11:02:13.012076+00
KTOS|2026-08-05|64.8|HIGH|11.26|strong|2026-08-05 11:30:35.347991+00
KURA|2026-08-13|60.5|HIGH|13.43|strong|2026-08-13 13:50:53.531717+00
KYMR|2026-06-25|80|MODERATE|21.17|strong|2026-06-25 13:50:14.642358+00
LAC|2026-06-02|54.7|MODERATE|11.43|strong|2026-06-02 11:20:15.606813+00
LFST|2026-08-06|96|HIGH|18.8|game_changer|2026-08-06 11:50:13.532808+00
LIFE|2026-08-04|80|HIGH|16.29|game_changer|2026-08-04 11:20:18.759495+00
LIND|2026-08-03|70|HIGH|15.55|strong|2026-08-03 13:55:32.473801+00
LPTH|2026-08-14|54.7|MODERATE|10.03|strong|2026-08-14 13:10:18.292813+00
LRCX|2026-07-30|84|HIGH|18.95|strong|2026-07-30 13:50:38.566138+00
LZB|2026-06-17|54|HIGH|26.5|routine|2026-06-17 13:50:44.298748+00
MANE|2026-07-15|72|HIGH|10.66|game_changer|2026-07-15 13:00:32.78698+00
MLTX|2026-06-22|96|HIGH|19.1|game_changer|2026-06-22 11:00:39.51144+00
MMYT|2026-06-15|60.5|MODERATE|12.81|routine|2026-06-15 13:52:32.882454+00
MNDY|2026-05-11|100.8|HIGH|19.16|strong|2026-05-11 11:20:17.715124+00
MPWR|2026-07-31|60|HIGH|13.96|game_changer|2026-07-31 13:35:22.066286+00
MRAM|2026-05-11|115.2|HIGH|29.68|strong|2026-05-11 11:00:12.353591+00
MRLN|2026-06-05|60|MODERATE|27.99|routine|2026-06-05 11:00:12.738671+00
MRNA|2026-08-19|115.2|HIGH|33.1|strong|2026-08-19 11:10:01.735082+00
MRVL|2026-06-02|115.2|HIGH|24.87|strong|2026-06-02 11:00:21.675102+00
MRVL|2026-08-19|69.1|HIGH|11.38|strong|2026-08-19 12:50:18.530223+00
MRX|2026-08-12|53.3|HIGH|12.45|strong|2026-08-12 13:55:36.610332+00
MTW|2026-08-07|50.4|HIGH|33.08|routine|2026-08-07 13:50:29.140106+00
MU|2026-06-25|96|HIGH|17.71|game_changer|2026-06-25 11:00:54.397326+00
NAVN|2026-06-11|80|HIGH|17.87|game_changer|2026-06-11 11:00:23.812359+00
NBIS|2026-08-12|54.7|MODERATE|12.2|strong|2026-08-12 12:00:31.62436+00
NESR|2026-08-10|53.3|HIGH|11.99|strong|2026-08-10 13:45:36.968162+00
NET|2026-08-07|100.8|HIGH|15.67|strong|2026-08-07 12:52:46.29653+00
NMAX|2026-08-14|100.8|HIGH|16.75|strong|2026-08-14 13:50:33.237784+00
NNE|2026-05-26|50.4|MODERATE|13.15|routine|2026-05-26 12:25:27.687395+00
NNE|2026-07-27|57|HIGH|10.38|strong|2026-07-27 13:56:26.865367+00
NOW|2026-06-01|54.7|MODERATE|10.31|strong|2026-06-01 11:20:29.38567+00
NRIX|2026-06-08|75.6|HIGH|11.5|game_changer|2026-06-08 11:05:13.13942+00
NVCR|2026-07-23|84|HIGH|15.54|strong|2026-07-23 13:05:03.276463+00
NVTS|2026-06-03|84|HIGH|15.39|strong|2026-06-03 13:00:07.403262+00
NWL|2026-07-31|60|HIGH|13.42|game_changer|2026-07-31 11:00:57.569088+00
OKLO|2026-05-26|64.8|MODERATE|11.68|strong|2026-05-26 12:25:37.154722+00
OMER|2026-08-13|60|HIGH|22.54|routine|2026-08-13 13:45:12.3766+00
