2026-04-01|Agri-Chemical & Crop Input Distributors|Accelerating||live|DAR,SSL,AGRO,RYAM
2026-04-01|AI Data Center Power Infrastructure|Accelerating||live|NXT,BE,GEV,PWR,VRT,AGX
2026-04-01|AI Memory & Storage|Accelerating||live|TSM,MU,STX,SNDK,WDC
2026-04-01|Crypto Asset Recovery|Fading||live|HUT,BTBT
2026-04-01|Edge Cloud & Developer CDN Platforms|Accelerating||live|FSLY,SVCO,BNAI,DOCN
2026-04-01|Engineered Polymers & High-Performance Acetyl Chemicals|Nascent||live|OLN,LYB,WLK,CE,CLMT,LXU,DOW,RYAM,ASIX,CC,MEOH
2026-04-01|Firearms & Personal Defense Manufacturing|Accelerating||live|SWBI,LINC
2026-04-01|IP Licensing & Ad-Tech Royalty Software|Fading||live|YOU,ADEA
2026-04-01|IT Infrastructure Deployment & Data Center Systems Integration|Nascent||live|TSSI,CAR
2026-04-01|LNG Liquefaction Infrastructure & Marine Export Terminals|Nascent||live|SM,BNO,CHRD,HAL,AESI,COP,XOM,GTE,AMPX,PBR,VLO,OXY,PARR,VET,CVX,DOW,BATL,PBF,VAL,LRCX,USO,SOC,DBO,FANG,TSEM,LYB,ICHR,MTDR,APA,EOG,VG,LBRT,OVV,XLE,WDS,ACDC,GLNG,PUMP,E,LNG,ANNA,EQNR,DELL,CRGY,VIST,PTEN,TALO,MPC,BW,SEDG
2026-04-01|Network Security & Zero-Trust Edge|Fading||live|FTNT,DDOG
2026-04-01|Nitrogen Fertilizer & Ammonia Producers|Nascent||live|SSL,GPRE,LXU,CF
2026-04-01|Optical Networking & Photonics Infrastructure|Nascent||live|TSEM,GLW,MRVL,PLAB,AMD,VIAV,ADTN,AAOI,COHR,CIEN,AXTI,UNIT,SVCO,LITE,SNDK,LASR,ARM
2026-04-01|Physical AI & Robotics|Fading||live|IRBT,NVEI,BDTX,HYLN,BFLY,EDIT
2026-04-01|Power Semiconductor & Mixed-Signal Display Drivers|Fading||live|AOSL,HIMX
2026-04-01|Rare Earth Magnets & Critical Battery Materials|Nascent||live|EMAT,CENX
2026-04-01|Satellite Intelligence & Earth Observation|Fading||live|RKLB,LUNR,AJRD,BKSY,MNTS,PL,SPIR,ASTS
2026-04-01|Satellite Mobile & IoT Connectivity Services|Fading||live|RTX,IRDM,LMT,PL,GD,NOC
2026-04-01|Semiconductor Probe Card & Front-End Test Equipment|Nascent||live|KLAC,AMAT,FORM,PLAB,UCTT,LRCX
2026-04-02|Agri-Chemical & Crop Input Distributors|Mainstream||live|DAR,RYAM,ADEA,SSL,AGRO,YOU
2026-04-02|Agricultural Commodities & Agri-Business|Accelerating||live|GPRE,SSL,CF,LXU,LYB
2026-04-02|AI Data Center Power Infrastructure|Mainstream||live|NXT,VRT,PWR,AGX,GEV,BE
2026-04-02|AI Memory & Storage|Accelerating||live|SNDK,STX,MU,WDC,TSM
2026-04-02|Compound Semiconductor & Specialty Photonic Materials|Mainstream||live|TSEM,ARM,VIAV,AAOI,AXTI,LITE,CIEN,AMD,LASR,MRVL,COHR,ADTN,GLW,SNDK,UNIT,PLAB,SVCO
2026-04-02|Cybersecurity Network Edge & SD-WAN|Fading||live|DDOG,FTNT
2026-04-02|Edge CDN & Cloud-Native Developer Platforms|Accelerating||live|PAYP,FSLY,DOCN,SVCO,BNAI
