ticker|theme|stage|members_n|corr_in|verdict_in|corr_oos|oos_overlap|sector|paying
APPN|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Mainstream|9|0.8616|admit|0.8651|30|Technology|True
AI|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Mainstream|9|0.6041|admit|0.7174|30|Technology|True
AVPT|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Mainstream|9|0.7559|admit|0.8137|30|Technology|True
INTA|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Mainstream|9|0.7613|admit|0.85|30|Technology|True
AMPL|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Mainstream|9|0.7595|admit|0.8804|30|Technology|True
MNDY|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Mainstream|9|0.775|admit|0.862|30|Technology|True
PATH|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Mainstream|9|0.8342|admit|0.7245|30|Technology|True
NOW|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Mainstream|9|0.8865|admit|0.8368|30|Technology|True
CRM|AI-Powered Enterprise Analytics & Intelligent Workflow SaaS|Mainstream|9|0.8898|admit|0.7743|30|Technology|True
BNS|Canadian Big Banks|Accelerating|5|0.8975|admit|0.7821|30|Financial Services|True
TD|Canadian Big Banks|Accelerating|5|0.8761|admit|0.8046|30|Financial Services|True
BMO|Canadian Big Banks|Accelerating|5|0.8856|admit|0.8442|30|Financial Services|True
CM|Canadian Big Banks|Accelerating|5|0.8134|admit|0.8876|30|Financial Services|True
RY|Canadian Big Banks|Accelerating|5|0.9139|admit|0.9023|30|Financial Services|True
HNI|Commercial, Office & Home Furniture Retailers and Manufacturers|Mainstream|5|0.6938|admit|0.5774|30|Consumer Cyclical|True
BOBS|Commercial, Office & Home Furniture Retailers and Manufacturers|Mainstream|5|0.606|admit|0.6405|30|Consumer Cyclical|True
MLKN|Commercial, Office & Home Furniture Retailers and Manufacturers|Mainstream|5|0.7247|admit|0.5324|30|Consumer Cyclical|True
WSM|Commercial, Office & Home Furniture Retailers and Manufacturers|Mainstream|5|0.6721|admit|0.5864|30|Consumer Cyclical|True
RH|Commercial, Office & Home Furniture Retailers and Manufacturers|Mainstream|5|0.5427|admit|0.4911|30|Consumer Cyclical|True
PGY|Consumer Fintech & Digital Credit Platforms|Fading|7|0.4915|admit|0.7127|30|Technology|False
KLAR|Consumer Fintech & Digital Credit Platforms|Fading|7|0.5937|admit|0.3211|30|Financial Services|False
AFRM|Consumer Fintech & Digital Credit Platforms|Fading|7|0.6552|admit|0.6418|30|Financial Services|False
DAVE|Consumer Fintech & Digital Credit Platforms|Fading|7|0.6185|admit|0.601|30|Technology|False
CHYM|Consumer Fintech & Digital Credit Platforms|Fading|7|0.398|admit|0.4751|30|Technology|False
SEZL|Consumer Fintech & Digital Credit Platforms|Fading|7|0.5724|admit|0.7091|30|Financial Services|False
BFH|Consumer Fintech & Digital Credit Platforms|Fading|7|0.2254|reject|0.5757|30|Financial Services|False
GPK|Containerboard & Corrugated Packaging Producers|Mainstream|4|0.4605|admit|0.6462|30|Consumer Cyclical|True
IP|Containerboard & Corrugated Packaging Producers|Mainstream|4|0.8645|admit|0.7677|30|Consumer Cyclical|True
SW|Containerboard & Corrugated Packaging Producers|Mainstream|4|0.8423|admit|0.8842|30|Consumer Cyclical|True
